"Country","iso3c","iso2c","y","Abslat","Spanish","French","Brit","WarDummy","LatAmerica","SubSahara","OutwarOr","Area","PrScEnroll","LifeExp","GDP60","Mining","EcoOrg","YrsOpen","Age","Buddha","Catholic","Confucian","EthnoL","Hindu","Jewish","Muslim","PrExports","Protestants","RuleofLaw","Popg","WorkPop","LabForce","HighEnroll","PublEdupct","RevnCoup","PolRights","CivlLib","English","Foreign","RFEXDist","EquipInv","NequipInv","stdBMP","BlMktPm","Accounts1000","NetInterestMargin","BankZscore","Privatecredit","MarketCap.WOtop10","MarketCap","MarketTurn","MarketVol","BankBranches","ATMs1000","findex","finrev","Lrev","sum_cr","max_cr","legor_uk","legor_ge","legor_sc","legor_fr","fst","statehist","group"
"Argentina","ARG","AR",0.0175326541257576,36.676,1,0,0,1,1,0,0,2767,0.98,65.2,8.0999,0.023,5,0.089,0,0,0.9,0,0.31,0,0.02,0,0.861,0.02,0.33333,0.015255,-0.93293,8110.334,0.109,0.0223,0.96,3.9444,3.5556,0,0.836,113,0.016,0.12,66.8497,0.16,617.617825,4.27106861538462,3.98679348461538,14.873829372549,25.0365714285714,24.8881864782609,27.1420350869565,46.5621056521739,13.302605,32.4711,0.438672436363636,-0.01488095,0.03125,1.11282051282051,6,0,0,0,1,459.11673,0.24547,"Lat. America"
"Australia","AUS","AU",0.0198320930558108,32.219,0,0,1,0,0,0,0,7687,1,70.7,8.9721,0.038,5,0.689,0,0,0.26,0,0.32,0,0,0,0.811,0.5,1,0.016453,-0.9019,4185.8271,0.131,0.0217,0,1,1,0.95,0,129,0.095,0.221,0.001,0,NA,2.05352397692308,10.4912988461538,50.9499860784314,57.4448571428571,87.2834813043478,62.3248982608696,15.0455315806452,30.8907175,150.31945,0.611832615151515,-0.00148809375,0,0.363636363636364,2,1,0,0,0,353.3981,0.1473399,"Rest"
"Austria","AUT","AT",0.0271877262883625,48.231,0,0,0,0,0,0,0,84,1,68.8,8.5471,0.004,4,0.778,0,0,0.85,0,0.13,0,0,0,0.198,0.06,1,0.002369,-0.73355,3384.449,0.08,0.0248,0,1,1,0,0.98,100,0.10059,0.13391,0.001,0,NA,1.61334488461538,23.9817153846154,74.8859457142857,37.1883571428571,19.8595563478261,49.91916,20.3391745833333,12.98364125,111.05965,0.531746039393939,-0.002976190625,0,0.682464454976303,4,0,1,0,0,344.36649,0.831479,"Rest"
"Belgium","BEL","BE",0.0250731930268672,50.837,0,0,0,0,0,0,1,31,1,69.7,8.6223,0,5,0.778,88,0,0.75,0,0.55,0,0,0,0.238,0.13,1,0.002494,-0.95399,3525.736,0.09,0.0463,0,1,1,0,0.345,100,0.06348,0.17082,0.001,0,NA,1.25996786923077,5.52463038461538,42.5114932244898,NA,55.2625956521739,30.1514707391304,18.5315294285714,50.2596525,86.1217957142857,0.71212123030303,0,0,0.298578199052133,5,0,0,0,1,314.48044,0.7412958,"Rest"
"Bolivia","BOL","BO",0.00763571446612106,15.19,1,0,0,0,1,0,0,1099,0.64,42.8,7.0058,0.075,3,0.733,0,0,0.95,0,0.68,0,0,0,0.969,0.03,0.16667,0.025138,-1.0631,1184.031,0.036,0.0158,1.19,4.1111,3.6667,0,0.372,181,0.014,0.1195,236.0656,0.03,275.2624875,5.11136792307692,9.65880484615385,23.3100538627451,NA,13.2772940705882,0.97888068125,NA,6.708363875,18.383268,0.474747466666667,-0.002976190625,0,0.516129032258065,4,0,0,0,1,1157.5732,0.6844944,"Lat. America"
"Brazil","BRA","BR",0.0275172748424853,19.557,0,0,0,0,1,0,0,8512,0.95,54.9,7.4645,0.017,3,0.089,0,0,0.9,0,0.07,0,0,0,0.858,0,0.66667,0.024529,-1.1348,23338.97,0.016,0.0041,0.12,3.3889,3.3889,0,0.998,97,0.0646,0.1644,15.5766,0.24,502.096733333333,6.41006615384615,22.6424769230769,31.64476875,49.7305714285714,32.5620414347826,71.8436130434783,55.3533814814815,43.62198,112.3116625,0.278499281818182,-0.008928575,0.0625,1.01587301587302,6,0,0,0,1,478.21884,0.2686879,"Lat. America"
"Botswana","BWA","BW",0.0635465552101235,21.536,0,0,1,0,0,1,0,582,0.42,45.7,6.2841,0.533,5,0.356,0,0,0.25,0,0.51,0,0,0,0.75,0.25,0.83333,0.03315,-0.82439,210.9185,0,0.03,0,2.0556,3,0,0,131,0.1309,0.153,23.3885,0.072,395.880071428571,6.34326207692308,14.6430653846154,14.7356598378378,NA,20.63078375,5.54397855,10.9812914,7.63667075,23.96967,NA,NA,NA,0.257575757575758,2,1,0,0,0,2007.6465,0.3405858,"Sub-Sahara"
"Canada","CAN","CA",0.0204310977233641,43.727,0,0,1,0,0,0,1,9976,1,71.1,8.894,0.034,5,0.956,0,0,0.46,0,0.75,0,0,0,0.488,0.26,1,0.013423,-0.98698,6674.685,0.16,0.0365,0,1,1,0.614,0.243,83,0.08605,0.14745,0.001,0,NA,2.33034715384615,20.4383023076923,63.5443541666667,71.9547142857143,88.4369086956522,60.8279395652174,14.2110449117647,24.351015,207.3842,0.838383845454545,0,0,0.166666666666667,2,1,0,0,0,388.12585,0.1942077,"Rest"
"Switzerland","CHE","CH",0.0152415006035537,47.408,0,0,0,0,0,0,1,41,1,71.3,9.1734,0.033,5,1,0,0,0.48,0,0.5,0,0,0,0.104,0.44,1,0.007048,-0.761,2505.126,0.067,0.0297,0,1,1,0,0.84,127,0.053,0.2449,0.001,0,NA,0.886933430769231,7.26107069230769,128.928382745098,30.698,179.957677391304,87.3370757142857,18.3581913043478,54.33544875,93.36522875,0.875901903030303,0,0,0.170616113744076,2,0,1,0,0,337.79871,0.8097817,"Rest"
"Chile","CHL","CL",0.0268499631699619,33.554,1,0,0,1,1,0,0,757,1,57.3,7.9718,0.155,5,0.422,0,0,0.89,0,0.14,0,0,0,0.956,0.11,0.83333,0.018302,-1.1215,2480.6411,0.042,0.0262,0.2,5.7778,4.6667,0,0.931,100,0.0152,0.13,331.3571,0.54,1775.58585714286,3.42103712307692,7.48626546153846,64.645555,54.7802142857143,129.30205,18.402325,18.7533140909091,15.16543875,50.46035375,0.621933618181818,-0.008928571875,0.03125,1.05181347150259,5,0,0,0,1,895.88556,0.2887413,"Lat. America"
